id,value
id_0,24.8032040094
id_1,63.9706866593
id_2,20.587442348
id_3,27.7442891918
id_4,10.1646787763
id_5,30.6301963251
id_6,39.4897872833
id_7,14.9765824926
id_8,48.0286304759
id_9,31.9198550637
id_10,38.1226110579
id_11,59.629102769
id_12,32.9209080523
id_13,35.1162146855
id_14,26.6428640286
id_15,14.1680731004
id_16,50.8069768991
id_17,23.2333172004
id_18,13.8702410614
id_19,15.6983029541
id_20,16.0725099973
id_21,28.317371379
id_22,39.6020278197
id_23,13.2285935233
id_24,60.6706729085
id_25,44.3212957983
id_26,26.6266600809
id_27,8.0170714656
id_28,30.7358619982
id_29,35.1075290469
id_30,13.9405050811
id_31,10.7961507156
id_32,17.1761348887
id_33,6.61932218156
id_34,16.7528971696
id_35,40.3604600078
id_36,19.605228712
id_37,26.0696879745
id_38,10.4478977325
id_39,62.9932923391
id_40,47.9435025622
id_41,20.5103372634
id_42,53.0588958971
id_43,19.2045290533
id_44,45.8132137078
id_45,50.0076773608
id_46,57.5485905286
id_47,40.3219891531
id_48,51.4523370649
id_49,40.2943017426
id_50,29.5737218077
id_51,21.6069232487
id_52,40.3885300154
id_53,23.904520108
id_54,37.0212368331
id_55,40.0202163153
id_56,23.8716528218
id_57,21.2711547747
id_58,35.2851558174
id_59,32.874320579
id_60,12.9654096681
id_61,24.1370646513
id_62,31.3522223147
id_63,54.5412291919
id_64,49.7803366887
id_65,25.672525719
id_66,39.5455945195
id_67,52.5068824054
id_68,26.6250968393
id_69,36.9575461785
id_70,64.6431109155
id_71,54.545668713
id_72,42.9506310424
id_73,14.5179290365
id_74,11.1532188497
id_75,36.59792769
id_76,64.6024325401
id_77,3.73344445482
id_78,40.4289572273
id_79,38.9308209449
id_80,9.57896541225
id_81,20.1933414047
id_82,8.75424808988
id_83,32.7261228094
id_84,8.18640233279
id_85,8.57091892858
id_86,15.9889112214
id_87,12.3633069061
id_88,16.9684472643
id_89,25.5013057458
id_90,35.019381145
id_91,10.7464458624
id_92,13.4683989674
id_93,10.1633200107
id_94,37.3235131459
id_95,17.710117403
id_96,15.3233746851
id_97,7.47329318006
id_98,10.7862641329
id_99,8.07999078658
id_100,11.421375264
id_101,20.1124292194
id_102,10.9929200901
id_103,8.75737229508
id_104,14.3874854103
id_105,35.9908006236
id_106,24.1643705408
id_107,9.69083191034
id_108,16.6289995121
id_109,17.1765502391
id_110,12.5671621567
id_111,13.3007494064
id_112,15.8017912454
id_113,24.7174843984
id_114,20.6155318889
id_115,16.2272766302
id_116,9.03473330927
id_117,42.4125686215
id_118,26.2158657423
id_119,3.53253358777
id_120,-0.687826325147
id_121,8.41579504237
id_122,13.3167373904
id_123,11.9396651111
id_124,6.54768688201
id_125,25.4155970455
id_126,22.6670045605
id_127,10.3662576098
id_128,18.8435390634
id_129,13.723305278
id_130,0.633315990918
id_131,34.0560391131
id_132,15.7494839744
id_133,20.8891562056
id_134,26.0547409588
id_135,24.8191197902
id_136,11.5473920269
id_137,23.7881932881
id_138,84.0965574702
id_139,61.0870624395
id_140,29.9942079728
id_141,17.7141336212
id_142,23.8607609087
id_143,7.84597787112
id_144,12.8081948074
id_145,10.9970239145
id_146,17.8283256628
id_147,7.96475316946
id_148,13.4189038282
id_149,16.6852982662
id_150,45.5201946471
id_151,19.1430931983
id_152,22.784303581
id_153,13.5758710104
id_154,16.9300034232
id_155,25.0278861308
id_156,22.3558309622
id_157,36.7142986847
id_158,5.52584922043
id_159,20.6204195352
id_160,43.7837174407
id_161,19.0033097516
id_162,64.2996278995
id_163,17.2721137929
id_164,35.1113036953
id_165,24.6590189631
id_166,19.7717506461
id_167,1.47728031025
id_168,70.6193875851
id_169,18.2285276883
id_170,16.7529117778
id_171,76.8255932861
id_172,19.4270373018
id_173,3.58922567622
id_174,25.3699834082
id_175,2.15505089519
id_176,10.3724528251
id_177,20.574267329
id_178,21.2611313423
id_179,23.5532086423
id_180,43.9925950233
id_181,31.8028480655
id_182,29.8043063013
id_183,14.8587158928
id_184,5.60397495596
id_185,40.7088186114
id_186,35.6242937884
id_187,33.7075522201
id_188,15.8627222503
id_189,23.5633804404
id_190,14.5889489812
id_191,15.3547356853
id_192,31.2119878861
id_193,74.6023598854
id_194,29.2824228027
id_195,11.6226359883
id_196,64.3599066336
id_197,18.5373201363
id_198,19.5354521048
id_199,21.7032921014
id_200,156.373714677
id_201,23.3338485752
id_202,59.4229968013
id_203,8.54665214172
id_204,60.1925006302
id_205,33.6262224491
id_206,13.1879638882
id_207,15.4915497835
id_208,65.1798518977
id_209,16.4118051126
id_210,32.4088557839
id_211,71.8753299905
id_212,21.04453067
id_213,96.249402135
id_214,39.8409392163
id_215,75.2220150181
id_216,105.597940136
id_217,78.302624148
id_218,29.8538806552
id_219,19.2075333523
id_220,31.8896003106
id_221,55.8487020272
id_222,26.127344498
id_223,39.1398909331
id_224,42.29735556
id_225,7.09788204546
id_226,4.46401423961
id_227,76.9422696016
id_228,27.601298007
id_229,1.15593552728
id_230,39.5656167928
id_231,12.6549364179
id_232,20.6343582717
id_233,5.02274998749
id_234,14.8510472436
id_235,21.896638811
id_236,13.9834428462
id_237,0.53601669422
id_238,22.5441871956
id_239,7.16924202413
